country,city,year,methodology,concentration_pm10,concentration_pm25,sea_salt,dust,traffic,industry,biomass_burn,other_source,latitude,longitude,population,study_year,iso3,region,continent,reference_author,site_typology,season
Africa,Accra,2006,PMF,14.616666666666667,66.0,31.545,17.0,22.5,7.12,50.5,10.0,5.55,-0.2,1658900.0,2013,GHA,Western Africa,AF,"Zhou122,123",urban,year
Africa,Accra,2007,PMF,14.616666666666667,66.0,31.545,17.0,22.5,7.12,50.5,10.0,5.55,-0.2,1658900.0,2013,GHA,Western Africa,AF,"Zhou122,123",urban,year
Africa,Dar es Salam,2005,PCA,14.616666666666667,66.0,31.545,17.17,42.192,7.12,13.58,24.154666666666667,-6.786,38.9699,1361000.0,2013,TZA,Eastern Africa,EU,Mmari33,rural,year
Africa,Dar es Salam,2006,PCA,14.616666666666667,66.0,31.545,17.17,42.192,7.12,13.58,24.154666666666667,-6.786,38.9699,1361000.0,2013,TZA,Eastern Africa,EU,Mmari33,rural,year
Africa,Dar es Salam,2007,PCA,14.616666666666667,66.0,31.545,17.17,42.192,7.12,13.58,24.154666666666667,-6.786,38.9699,1361000.0,2013,TZA,Eastern Africa,EU,Mmari33,rural,year
Africa,Ikeja,1989,CMB,176.0,66.0,27.8,17.102,33.6,7.4,28.348000000000003,31.19999999999999,6.58249166,3.3332944,313000.0,2001,NGA,Western Africa,AF,Oluyemi124,industrial,year
Africa,Ikeja,1990,CMB,176.0,66.0,27.8,17.102,33.6,7.4,28.348000000000003,31.19999999999999,6.58249166,3.3332944,313000.0,2001,NGA,Western Africa,AF,Oluyemi124,industrial,year
Africa,Ikeja,1991,CMB,176.0,66.0,27.8,17.102,33.6,7.4,28.348000000000003,31.19999999999999,6.58249166,3.3332944,313000.0,2001,NGA,Western Africa,AF,Oluyemi124,industrial,year
Africa,Ikoyi,1989,CMB,92.0,66.0,24.4,17.102,57.6,4.5,28.348000000000003,13.5,6.4592138,3.60140555,5195000.0,2001,NGA,Western Africa,AF,Oluyemi124,urban,year
Africa,Ikoyi,1990,CMB,92.0,66.0,24.4,17.102,57.6,4.5,28.348000000000003,13.5,6.4592138,3.60140555,5195000.0,2001,NGA,Western Africa,AF,Oluyemi124,urban,year
Africa,Ikoyi,1991,CMB,92.0,66.0,24.4,17.102,57.6,4.5,28.348000000000003,13.5,6.4592138,3.60140555,5195000.0,2001,NGA,Western Africa,AF,Oluyemi124,urban,year
Africa,Yaba,1989,CMB,188.0,66.0,34.2,17.102,39.0,7.8,28.348000000000003,19.0,6.50834166,3.3842611,5195000.0,2001,NGA,Western Africa,AF,Oluyemi124,residential,year
